time_left,ct_score,t_score,map,bomb_planted,ct_health,t_health,ct_armor,t_armor,ct_money,t_money,ct_helmets,t_helmets,ct_defuse_kits,ct_players_alive,t_players_alive
114.94,4,4,de_dust2,False,500,500,500,482,500,10500,0,5,0,5,5
94.94,4,4,de_dust2,False,500,490,500,482,500,10500,0,5,0,5,5
74.94,4,4,de_dust2,False,400,390,400,388,450,9150,0,4,0,4,4
54.97,4,4,de_dust2,False,298,192,300,200,750,4600,0,2,0,3,2
175.0,5,4,de_dust2,False,500,500,299,0,17850,17900,0,0,0,5,5
175.0,5,4,de_dust2,False,500,500,399,0,8200,17900,2,0,1,5,5
168.8,5,4,de_dust2,False,500,500,499,0,4100,17900,3,0,2,5,5
108.7,5,4,de_dust2,False,500,500,499,0,3500,16400,3,0,2,5,5
88.7,5,4,de_dust2,False,307,70,382,0,3250,2450,2,0,1,4,1
175.0,6,4,de_dust2,False,500,500,382,0,20650,26200,2,0,2,5,5
115.0,6,4,de_dust2,False,500,500,482,500,12250,1150,3,5,4,5,5
95.0,6,4,de_dust2,False,473,500,472,500,12250,1150,3,5,4,5,5
75.0,6,4,de_dust2,False,454,460,465,500,12250,1150,3,5,4,5,5
54.97,6,4,de_dust2,False,454,460,465,500,12250,1150,3,5,4,5,5
35.3,6,4,de_dust2,True,371,360,371,400,10950,1600,2,4,3,4,4
15.3,6,4,de_dust2,True,338,260,366,300,11050,1250,2,3,3,4,3
175.0,7,4,de_dust2,False,500,500,358,0,30950,17750,2,0,3,5,5
114.94,7,4,de_dust2,False,500,500,466,300,19150,10900,4,2,4,5,5
94.94,7,4,de_dust2,False,500,500,466,300,18950,10600,4,2,4,5,5
74.94,7,4,de_dust2,False,500,500,466,300,18950,10600,4,2,4,5,5
175.0,8,4,de_dust2,False,500,500,360,0,36500,25400,3,0,3,5,5
115.0,8,4,de_dust2,False,500,500,478,400,26700,750,5,4,5,5,5
95.0,8,4,de_dust2,False,476,300,477,200,26900,400,5,2,5,5,3
75.0,8,4,de_dust2,False,376,200,377,100,21300,250,4,1,4,4,2
175.0,9,4,de_dust2,False,500,500,369,0,44050,18050,4,0,4,5,5
115.0,9,4,de_dust2,False,500,500,469,400,34550,9800,5,3,5,5,5
95.0,9,4,de_dust2,False,500,464,469,387,34550,9800,5,3,5,5,5
75.0,9,4,de_dust2,False,500,464,469,387,34550,9800,5,3,5,5,5
54.97,9,4,de_dust2,False,432,200,445,200,35250,3300,5,1,5,5,2
175.0,10,4,de_dust2,False,500,500,377,0,51700,27100,4,0,4,5,5
114.94,10,4,de_dust2,False,500,500,499,500,42550,700,5,5,4,5,5
94.94,10,4,de_dust2,False,389,400,400,400,30850,750,4,4,3,4,4
74.94,10,4,de_dust2,False,109,200,200,200,20050,1050,2,2,2,2,2
175.0,4,11,de_dust2,False,500,500,0,0,4000,4000,0,0,0,5,5
156.4,4,11,de_dust2,False,500,500,300,200,1250,350,0,0,1,5,5
96.4,4,11,de_dust2,False,320,461,384,179,600,350,0,0,1,5,5
76.4,4,11,de_dust2,False,116,366,197,151,300,1250,0,0,0,2,5
175.0,4,12,de_dust2,False,500,500,0,151,10100,18400,0,0,0,5,5
114.94,4,12,de_dust2,False,500,500,200,500,1700,400,1,5,0,5,5
94.94,4,12,de_dust2,False,300,400,100,400,1900,900,0,4,0,3,4
74.94,4,12,de_dust2,False,184,280,0,300,1500,1150,0,3,0,2,3
175.0,4,13,de_dust2,False,500,500,0,200,14400,18450,0,2,0,5,5
114.94,4,13,de_dust2,False,500,500,0,500,13900,7100,0,4,0,5,5
175.0,4,14,de_dust2,False,500,500,0,365,28700,23750,0,3,0,5,5
115.0,4,14,de_dust2,False,500,500,500,465,600,19250,1,4,1,5,5
95.0,4,14,de_dust2,False,497,500,500,465,300,17100,1,5,1,5,5
75.0,4,14,de_dust2,False,200,300,200,379,150,15350,0,4,1,2,4
54.97,4,14,de_dust2,False,100,300,100,379,0,15650,0,4,1,1,4
24.94,4,14,de_dust2,True,28,147,93,195,600,6850,0,2,1,1,2
4.94,4,14,de_dust2,True,28,147,93,195,600,6850,0,2,1,1,2
175.0,4,15,de_dust2,False,500,500,91,195,18000,36100,0,2,1,5,5
114.94,4,15,de_dust2,False,500,500,491,495,900,20100,2,5,2,5,5
94.94,4,15,de_dust2,False,483,400,491,395,1500,15400,2,4,2,5,4
74.94,4,15,de_dust2,False,283,204,291,272,250,11800,1,3,1,3,3
54.97,4,15,de_dust2,False,183,204,191,272,150,12100,1,3,2,2,3
34.97,4,15,de_dust2,False,100,100,100,100,50,2400,1,1,1,1,1
14.96,4,15,de_dust2,False,100,40,100,86,50,2400,1,1,1,1,1
170.0,0,0,de_mirage,False,500,500,0,0,4000,4000,0,0,0,5,5
89.94,0,0,de_mirage,False,180,146,87,71,250,700,0,0,1,2,2
170.0,0,1,de_mirage,False,500,500,0,66,11100,18250,0,0,0,5,5
109.94,0,1,de_mirage,False,500,500,400,500,1100,650,2,5,0,5,5
89.94,0,1,de_mirage,False,400,394,300,397,1400,500,1,4,0,4,4
35.97,0,1,de_mirage,True,200,305,200,389,50,1400,1,4,0,2,4
15.98,0,1,de_mirage,True,200,305,200,389,50,1400,1,4,0,2,4
170.0,0,2,de_mirage,False,500,500,192,376,13400,19350,1,4,0,5,5
109.94,0,2,de_mirage,False,500,500,192,476,12400,12900,1,5,0,5,5
89.94,0,2,de_mirage,False,201,500,192,476,7600,13800,1,5,0,3,5
170.0,0,3,de_mirage,False,500,500,0,370,27200,31550,0,4,0,5,5
109.94,0,3,de_mirage,False,500,500,500,470,300,21300,4,5,0,5,5
89.94,0,3,de_mirage,False,500,499,500,469,300,21300,4,5,0,5,5
69.94,0,3,de_mirage,False,500,499,500,469,300,21300,4,5,0,5,5
49.97,0,3,de_mirage,False,500,399,500,369,400,18700,4,4,0,5,4
29.95,0,3,de_mirage,False,500,200,500,190,800,7400,4,2,0,5,2
9.96,0,3,de_mirage,False,400,110,400,170,800,7700,3,2,0,4,2
170.0,1,3,de_mirage,False,500,500,400,170,17050,25800,3,2,0,5,5
109.94,1,3,de_mirage,False,500,500,500,470,7650,7150,4,5,4,5,5
89.94,1,3,de_mirage,False,400,407,400,438,7550,7250,4,5,4,4,5
30.83,1,3,de_mirage,True,300,348,300,352,7000,6300,3,4,3,3,4
10.83,1,3,de_mirage,True,300,100,300,99,7900,2350,3,1,3,3,1
170.0,2,3,de_mirage,False,500,500,300,0,26950,21350,3,0,3,5,5
109.94,2,3,de_mirage,False,500,500,500,500,11450,300,5,5,5,5,5
89.94,2,3,de_mirage,False,500,500,500,500,11450,300,5,5,5,5,5
69.94,2,3,de_mirage,False,500,500,500,500,11450,300,5,5,5,5,5
49.97,2,3,de_mirage,False,500,500,500,500,11450,300,5,5,5,5,5
29.95,2,3,de_mirage,False,300,186,300,289,4600,700,3,3,3,3,3
9.96,2,3,de_mirage,False,200,93,200,98,4500,350,2,1,2,2,1
170.0,3,3,de_mirage,False,500,500,200,77,28700,10800,2,1,2,5,5
109.94,3,3,de_mirage,False,500,500,500,77,8900,9100,5,1,4,5,5
89.94,3,3,de_mirage,False,500,500,500,77,8900,7700,5,1,4,5,5
69.94,3,3,de_mirage,False,500,452,500,77,8900,7700,5,1,4,5,5
170.0,4,3,de_mirage,False,500,500,400,0,26450,22500,4,0,3,5,5
109.94,4,3,de_mirage,False,500,500,500,500,18250,300,5,5,5,5,5
89.94,4,3,de_mirage,False,395,412,398,478,14050,600,4,5,4,4,5
69.94,4,3,de_mirage,False,395,412,398,478,14050,600,4,5,4,4,5
49.97,4,3,de_mirage,False,200,290,200,373,5650,1150,2,4,2,2,4
27.16,4,3,de_mirage,True,200,290,200,373,5650,1450,2,4,2,2,4
7.16,4,3,de_mirage,True,100,290,100,373,3400,1750,1,4,1,1,4
170.0,4,4,de_mirage,False,500,500,100,370,25550,19300,1,4,1,5,5
109.94,4,4,de_mirage,False,500,500,500,470,2400,9800,3,5,2,5,5
89.94,4,4,de_mirage,False,500,500,500,470,2400,9800,3,5,2,5,5
69.94,4,4,de_mirage,False,500,500,500,470,2400,9800,3,5,2,5,5
49.97,4,4,de_mirage,False,471,200,500,191,2900,2800,3,2,2,5,2
29.95,4,4,de_mirage,False,371,200,400,191,2550,3100,2,2,2,4,2
33.5,4,4,de_mirage,True,171,100,200,99,850,3700,1,1,0,2,1
13.49,4,4,de_mirage,True,112,0,191,0,1150,0,1,0,1,2,0
170.0,5,4,de_mirage,False,500,500,191,0,21300,27000,1,0,1,5,5
170.0,5,4,de_mirage,False,500,500,491,300,3150,16450,4,3,4,5,5
170.0,5,4,de_mirage,False,500,500,491,500,3150,3950,4,5,4,5,5
112.6,5,4,de_mirage,False,500,500,491,500,3150,3650,4,5,4,5,5
92.6,5,4,de_mirage,False,500,500,491,500,3150,3650,4,5,4,5,5
72.6,5,4,de_mirage,False,500,447,491,483,3150,3650,4,5,4,5,5
32.62,5,4,de_mirage,False,103,76,188,98,800,1250,2,1,2,2,1
30.66,5,4,de_mirage,True,100,76,91,98,50,1850,1,1,1,1,1
10.66,5,4,de_mirage,True,13,0,91,0,350,0,1,0,1,1,0
170.0,6,4,de_mirage,False,500,500,91,0,21650,23450,1,0,1,5,5
109.94,6,4,de_mirage,False,500,500,491,500,1900,600,4,5,2,5,5
89.94,6,4,de_mirage,False,500,400,491,400,2000,550,4,4,2,5,4
69.94,6,4,de_mirage,False,400,263,391,286,450,650,3,3,1,4,3
170.0,7,4,de_mirage,False,500,500,386,0,19250,17700,3,0,1,5,5
109.94,7,4,de_mirage,False,500,500,486,400,8800,10600,5,2,4,5,5
89.94,7,4,de_mirage,False,478,268,482,195,9200,6600,5,0,4,5,3
31.16,7,4,de_mirage,True,207,212,292,183,6500,7300,3,0,2,3,3
170.0,7,5,de_mirage,False,500,500,0,183,16200,28250,0,0,0,5,5
110.0,7,5,de_mirage,False,500,500,0,500,16200,13550,0,4,0,5,5
90.0,7,5,de_mirage,False,500,500,0,500,16200,13250,0,4,0,5,5
26.62,7,5,de_mirage,True,400,500,0,500,12550,13650,0,4,0,4,5
6.62,7,5,de_mirage,True,100,427,0,462,1800,14550,0,4,0,1,5
170.0,7,6,de_mirage,False,500,500,0,431,25700,32050,0,4,0,5,5
109.94,7,6,de_mirage,False,500,500,500,431,400,26050,1,4,2,5,5
89.94,7,6,de_mirage,False,344,156,400,166,1200,6300,1,2,1,4,2
69.94,7,6,de_mirage,False,300,156,300,166,1000,6600,1,2,1,3,2
49.97,7,6,de_mirage,False,200,100,200,95,300,3800,0,1,2,2,1
109.94,8,6,de_mirage,False,500,500,500,500,850,9300,2,5,4,5,5
89.94,8,6,de_mirage,False,500,400,500,400,950,7750,2,4,4,5,4
69.94,8,6,de_mirage,False,500,400,500,400,950,7750,2,4,4,5,4
35.16,8,6,de_mirage,True,200,262,200,295,700,8350,1,3,1,2,3
170.0,7,8,de_mirage,False,500,500,0,0,4000,4000,0,0,0,5,5
170.0,7,8,de_mirage,False,500,500,100,100,3350,950,0,0,0,5,5
170.0,7,8,de_mirage,False,500,500,100,100,2650,950,0,0,1,5,5
170.0,7,8,de_mirage,False,500,500,200,200,2000,300,0,0,1,5,5
111.0,7,8,de_mirage,False,500,500,400,200,650,300,0,0,1,5,5
28.52,7,8,de_mirage,True,189,106,193,0,850,600,0,0,0,2,2
8.52,7,8,de_mirage,True,189,0,193,0,1450,0,0,0,0,2,0
170.0,8,8,de_mirage,False,500,500,193,0,19950,15000,0,0,0,5,5
109.94,8,8,de_mirage,False,500,500,393,500,250,50,3,5,1,5,5
89.94,8,8,de_mirage,False,400,481,293,500,250,350,2,5,0,4,5
69.94,8,8,de_mirage,False,322,381,279,400,550,350,2,4,0,4,4
49.94,8,8,de_mirage,False,300,281,200,300,300,650,2,3,1,3,3
29.95,8,8,de_mirage,False,100,200,100,199,150,650,1,2,0,1,2
170.0,8,9,de_mirage,False,500,500,0,197,7950,17800,0,2,0,5,5
109.94,8,9,de_mirage,False,500,500,400,497,100,1700,2,5,0,5,5
89.94,8,9,de_mirage,False,473,500,396,497,100,1700,2,5,0,5,5
69.94,8,9,de_mirage,False,452,493,396,497,100,1700,2,5,0,5,5
27.77,8,9,de_mirage,True,163,193,279,199,950,1050,2,2,0,3,2
7.77,8,9,de_mirage,True,10,0,85,0,450,0,1,0,0,1,0
170.0,8,10,de_mirage,False,500,500,0,0,10900,20700,0,0,0,5,5
109.94,8,10,de_mirage,False,500,500,0,500,10700,1300,0,5,0,5,5
89.94,8,10,de_mirage,False,36,400,0,400,2250,1500,0,4,0,1,4
170.0,8,11,de_mirage,False,500,500,0,400,23000,19650,0,4,0,5,5
109.94,8,11,de_mirage,False,500,500,400,500,350,11550,2,5,0,5,5
89.94,8,11,de_mirage,False,500,500,400,500,350,11550,2,5,0,5,5
69.94,8,11,de_mirage,False,500,400,400,400,650,8200,2,4,0,5,4
49.97,8,11,de_mirage,False,500,400,400,400,650,8200,2,4,0,5,4
29.95,8,11,de_mirage,False,500,400,400,400,650,8200,2,4,0,5,4
170.0,9,11,de_mirage,False,500,500,200,0,18100,19150,1,0,0,5,5
109.94,9,11,de_mirage,False,500,500,500,100,2300,13900,4,0,3,5,5
89.94,9,11,de_mirage,False,500,497,500,98,2300,13900,4,0,3,5,5
69.94,9,11,de_mirage,False,200,97,200,98,2050,2900,2,0,2,2,1
49.94,9,11,de_mirage,False,200,97,200,98,2050,2900,2,0,2,2,1
170.0,10,11,de_mirage,False,500,500,200,0,19850,24100,2,0,2,5,5
170.0,10,11,de_mirage,False,500,500,400,300,7250,13200,4,3,4,5,5
164.8,10,11,de_mirage,False,500,500,500,500,3300,700,5,5,4,5,5
104.7,10,11,de_mirage,False,500,500,499,500,3100,650,5,5,4,5,5
84.7,10,11,de_mirage,False,200,208,199,280,1600,1000,2,3,1,2,3
64.7,10,11,de_mirage,False,13,108,99,180,1650,950,1,2,1,1,2
35.28,10,11,de_mirage,True,13,100,99,100,1950,300,1,1,1,1,1
170.0,10,12,de_mirage,False,500,500,0,100,11300,18700,0,1,0,5,5
109.94,10,12,de_mirage,False,500,500,300,500,450,1950,0,5,1,5,5
89.94,10,12,de_mirage,False,500,500,300,500,450,1950,0,5,1,5,5
69.94,10,12,de_mirage,False,500,500,300,500,450,1950,0,5,1,5,5
49.94,10,12,de_mirage,False,321,337,200,394,400,1950,0,4,0,4,4
29.95,10,12,de_mirage,False,315,237,197,294,700,1300,0,3,0,4,3
170.0,11,12,de_mirage,False,500,500,197,0,18000,9550,0,0,0,5,5
170.0,11,12,de_mirage,False,500,500,500,0,6300,9550,4,0,1,5,5
163.1,11,12,de_mirage,False,500,500,500,200,4500,5800,4,1,2,5,5
103.1,11,12,de_mirage,False,500,500,500,400,2350,1600,5,3,3,5,5
83.1,11,12,de_mirage,False,408,292,498,197,3250,1500,5,2,3,5,3
63.12,11,12,de_mirage,False,408,292,498,197,3250,1500,5,2,3,5,3
170.0,12,12,de_mirage,False,500,500,400,0,20700,11400,4,0,3,5,5
109.94,12,12,de_mirage,False,500,500,500,0,9500,11400,5,0,4,5,5
89.94,12,12,de_mirage,False,200,163,200,0,3000,7100,2,0,2,2,3
25.39,12,12,de_mirage,True,108,120,180,0,3600,5200,2,0,2,2,2
170.0,13,12,de_mirage,False,500,500,176,0,29100,28600,2,0,2,5,5
170.0,13,12,de_mirage,False,500,500,476,300,7550,12650,5,3,5,5,5
168.5,13,12,de_mirage,False,500,500,476,500,7250,2250,5,5,5,5,5
108.5,13,12,de_mirage,False,500,500,476,500,7250,2250,5,5,5,5,5
48.53,13,12,de_mirage,False,500,500,476,500,7250,2250,5,5,5,5,5
28.52,13,12,de_mirage,False,473,100,472,100,8250,50,5,1,5,5,1
170.0,14,12,de_mirage,False,500,500,372,0,24800,17050,4,0,4,5,5
109.94,14,12,de_mirage,False,500,500,472,300,15000,9450,5,3,5,5,5
89.94,14,12,de_mirage,False,500,335,472,288,15300,7350,5,3,5,5,4
35.1,14,12,de_mirage,True,400,186,372,185,12600,6050,4,2,4,4,3
15.09,14,12,de_mirage,True,257,0,265,0,10500,0,3,0,3,3,0
170.0,15,12,de_mirage,False,500,500,265,0,34300,31150,3,0,3,5,5
109.94,15,12,de_mirage,False,500,500,465,500,19000,3700,5,5,5,5,5
89.94,15,12,de_mirage,False,500,500,465,500,19000,3700,5,5,5,5,5
69.94,15,12,de_mirage,False,400,393,365,397,16000,2900,4,4,4,4,4
49.94,15,12,de_mirage,False,400,393,365,397,16000,2900,4,4,4,4,4
33.38,15,12,de_mirage,True,200,366,192,392,12650,3800,2,4,2,2,4
13.39,15,12,de_mirage,True,200,366,192,392,12650,3800,2,4,2,2,4
170.0,15,13,de_mirage,False,500,500,0,292,26600,23000,0,3,0,5,5
170.0,15,13,de_mirage,False,500,500,300,492,7450,10500,1,5,1,5,5
168.5,15,13,de_mirage,False,500,500,500,492,1350,9900,1,5,2,5,5
108.5,15,13,de_mirage,False,500,500,500,492,1350,9400,1,5,2,5,5
88.5,15,13,de_mirage,False,500,500,500,492,1350,9400,1,5,2,5,5
68.5,15,13,de_mirage,False,500,500,500,492,1350,9400,1,5,2,5,5
48.47,15,13,de_mirage,False,416,400,500,392,1650,6900,1,4,2,5,4
26.98,15,13,de_mirage,True,200,254,200,355,1000,8100,0,4,1,2,4
6.98,15,13,de_mirage,True,200,254,200,355,1000,8100,0,4,1,2,4
170.0,15,14,de_mirage,False,500,500,200,70,11850,28100,0,1,1,5,5
109.94,15,14,de_mirage,False,500,500,500,470,50,3350,2,5,3,5,5
89.94,15,14,de_mirage,False,500,400,500,370,150,3200,2,4,3,5,4
69.94,15,14,de_mirage,False,500,400,500,370,150,3200,2,4,3,5,4
170.0,0,0,de_dust2,False,500,500,0,0,4000,4000,0,0,0,5,5
109.94,0,0,de_dust2,False,500,500,400,300,600,400,0,0,1,5,5
89.94,0,0,de_dust2,False,500,381,400,199,900,250,0,0,1,5,4
40.0,0,0,de_dust2,True,400,261,300,199,1050,850,0,0,1,4,3
170.0,1,0,de_dust2,False,500,500,300,0,19900,14500,0,0,1,5,5
170.0,1,0,de_dust2,False,500,500,500,300,0,900,5,3,1,5,5
170.0,1,0,de_dust2,False,500,500,500,300,0,850,5,3,1,5,5
166.6,1,0,de_dust2,False,500,500,500,300,0,850,5,3,1,5,5
106.6,1,0,de_dust2,False,500,500,500,300,0,850,5,3,1,5,5
86.6,1,0,de_dust2,False,500,497,500,300,0,850,5,3,1,5,5
66.6,1,0,de_dust2,False,500,497,500,300,0,850,5,3,1,5,5
35.75,1,0,de_dust2,True,300,300,300,200,300,1350,3,2,1,3,3
15.74,1,0,de_dust2,True,180,300,291,200,300,1350,3,2,1,3,3
170.0,1,1,de_dust2,False,500,500,91,80,7900,19850,1,1,0,5,5
109.94,1,1,de_dust2,False,500,500,391,480,450,3200,1,5,0,5,5
89.94,1,1,de_dust2,False,497,500,389,480,450,3200,1,5,0,5,5
69.94,1,1,de_dust2,False,497,500,389,480,450,3200,1,5,0,5,5
49.97,1,1,de_dust2,False,400,400,291,380,400,3400,1,4,0,4,4
28.52,1,1,de_dust2,True,200,379,91,376,300,4300,1,4,0,2,4
8.51,1,1,de_dust2,True,200,379,91,376,300,4300,1,4,0,2,4
170.0,1,2,de_dust2,False,500,500,91,374,10250,21900,1,4,0,5,5
109.94,1,2,de_dust2,False,500,431,91,467,7350,12900,1,5,0,5,5
89.94,1,2,de_dust2,False,288,331,0,367,3850,11700,0,4,0,3,4
69.94,1,2,de_dust2,False,263,331,0,367,3850,11700,0,4,0,3,4
49.97,1,2,de_dust2,False,188,331,0,367,2500,12000,0,4,0,2,4
37.97,1,2,de_dust2,True,188,331,0,367,2500,12300,0,4,0,2,4
17.95,1,2,de_dust2,True,188,331,0,367,2500,12300,0,4,0,2,4
170.0,1,3,de_dust2,False,500,500,0,367,19650,31600,0,4,0,5,5
109.94,1,3,de_dust2,False,500,500,300,467,15500,20350,0,5,0,5,5
89.94,1,3,de_dust2,False,491,500,300,467,15500,20350,0,5,0,5,5
69.94,1,3,de_dust2,False,281,438,200,452,9000,20950,0,5,0,3,5
37.8,1,3,de_dust2,True,181,300,200,296,6300,11100,0,3,0,2,3
17.8,1,3,de_dust2,True,181,300,200,296,6300,11100,0,3,0,2,3
170.0,1,4,de_dust2,False,500,500,200,195,30700,38850,0,2,0,5,5
109.94,1,4,de_dust2,False,500,500,500,495,9750,19600,4,5,4,5,5
89.94,1,4,de_dust2,False,500,494,500,495,9750,19600,4,5,4,5,5
69.94,1,4,de_dust2,False,153,182,200,197,3800,9000,2,2,1,2,2
37.9,1,4,de_dust2,True,71,88,100,99,900,2100,1,1,1,1,1
164.4,1,5,de_dust2,False,500,500,500,499,1350,14700,1,5,1,5,5
104.3,1,5,de_dust2,False,500,500,500,499,1350,14700,1,5,1,5,5
84.3,1,5,de_dust2,False,500,500,500,499,1350,14700,1,5,1,5,5
64.3,1,5,de_dust2,False,500,500,500,499,1350,14700,1,5,1,5,5
44.34,1,5,de_dust2,False,500,300,500,300,1950,8850,1,3,1,5,3
28.1,1,5,de_dust2,True,300,264,300,299,1400,9750,1,3,1,3,3
8.09,1,5,de_dust2,True,100,149,100,194,450,7650,0,2,0,1,2
170.0,1,6,de_dust2,False,500,500,100,185,19250,33500,0,2,0,5,5
170.0,1,6,de_dust2,False,500,500,100,485,19250,16000,0,5,0,5,5
170.0,1,6,de_dust2,False,500,500,100,485,18450,16000,0,5,0,5,5
165.4,1,6,de_dust2,False,500,500,100,485,18450,16000,0,5,0,5,5
105.44,1,6,de_dust2,False,429,500,300,485,13800,16000,1,5,0,5,5
85.44,1,6,de_dust2,False,229,400,200,391,7900,8650,1,4,0,3,4
65.44,1,6,de_dust2,False,229,400,200,391,7900,8650,1,4,0,3,4
45.4,1,6,de_dust2,False,129,400,100,391,5450,8950,1,4,0,2,4
25.4,1,6,de_dust2,False,29,400,0,391,2850,9250,0,4,0,1,4
0.27,1,6,de_dust2,True,29,400,0,391,2850,9550,0,4,0,1,4
170.0,1,7,de_dust2,False,500,500,0,380,31100,35000,0,4,0,5,5
109.94,1,7,de_dust2,False,500,500,500,480,5150,26000,2,5,2,5,5
89.94,1,7,de_dust2,False,500,500,500,480,5150,26000,2,5,2,5,5
69.94,1,7,de_dust2,False,270,200,300,189,5800,8550,1,2,2,3,2
49.97,1,7,de_dust2,False,270,200,300,189,5800,8550,1,2,2,3,2
29.95,1,7,de_dust2,False,104,100,200,89,4600,3750,1,1,1,2,1
9.96,1,7,de_dust2,False,104,100,200,89,4600,3750,1,1,1,2,1
170.0,2,7,de_dust2,False,500,500,200,0,22900,33700,1,0,1,5,5
170.0,2,7,de_dust2,False,500,500,200,500,22900,6600,1,5,1,5,5
170.0,2,7,de_dust2,False,500,500,500,500,2850,6600,4,5,3,5,5
110.3,2,7,de_dust2,False,500,500,500,500,2550,6600,4,5,3,5,5
90.3,2,7,de_dust2,False,500,500,500,500,2550,6600,4,5,3,5,5
70.3,2,7,de_dust2,False,500,500,500,500,2550,6600,4,5,3,5,5
50.34,2,7,de_dust2,False,400,373,400,498,1850,6900,3,5,2,4,5
39.9,2,7,de_dust2,True,174,349,196,498,1850,7800,2,5,2,2,5
19.92,2,7,de_dust2,True,174,249,196,398,1950,4550,2,4,2,2,4
170.0,2,8,de_dust2,False,500,500,100,200,17350,25400,1,2,1,5,5
109.94,2,8,de_dust2,False,500,500,200,500,13700,8200,1,5,1,5,5
89.94,2,8,de_dust2,False,400,500,100,500,10450,8300,0,5,0,4,5
69.94,2,8,de_dust2,False,400,400,100,400,10550,6350,0,4,0,4,4
49.94,2,8,de_dust2,False,400,400,100,400,10550,6350,0,4,0,4,4
23.84,2,8,de_dust2,True,300,308,100,390,8350,6950,0,4,1,3,4
3.85,2,8,de_dust2,True,200,300,100,300,4950,5200,0,3,1,2,3
170.0,2,9,de_dust2,False,500,500,100,299,31100,26700,0,3,1,5,5
109.94,2,9,de_dust2,False,500,500,500,499,9000,13800,4,5,5,5,5
89.94,2,9,de_dust2,False,400,495,400,497,8950,13900,4,5,4,4,5
